Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g)
pão de queijo com batata doce e chia,40,-0.5455928813577938,-0.3538749600677845,-0.7572708169712452,-0.35456263940590677
tapioca com queijo branco,100,-0.132860514336408,0.15401249128160424,-0.24711801653251902,-0.13569681261213715
tapioca com peito de peru e queijo,93,0.07350566917428496,0.4727556504043241,-0.3185394085939407,-0.15559370595702532
tapioca com maçã caramelizada,60,-0.10829311153751597,0.4657503062477807,-0.8286922090326668,-0.7326036129587815
salada de frutas,160,-0.6291220508740267,-0.12970394705839916,-0.7572708169712452,-0.7127067196138934
ovos mexidos com tomate,160,0.04402478581561453,-0.7041421678949491,0.4262836800465995,0.6601789211833887
biscoito de banana com canela,30,-0.3441401784068793,-0.12970394705839916,-0.5940219208308528,-0.25507817268146604
biscoito de banana com gotas de chocolate,20,-0.5701602841566858,-0.44494443410284734,-0.7266616489449217,-0.30482040604368643
bolo de tapioca,100,-0.3097458144884305,-0.02812645678852147,-0.6450372008747255,-0.30482040604368643
crepioca de chocolate,100,0.584507647391239,0.3396541114300014,0.5589234081606684,0.7497149412353854
crepioca de frango com queijo,100,1.2134331590428744,-0.3748909925374144,0.1610042238184619,-0.13569681261213715
crepioca de presunto e queijo,100,0.058765227494949744,-0.4799711548855638,0.09978588776581482,-0.01631545254280825
crepioca de aveia sem gluten e banana,100,-0.23113012553197604,-0.23478410940654856,0.058973663730716684,-0.7326036129587815
bolo de cenoura,35,-0.3588806200862145,0.15050981920333253,-0.6960524809185981,-0.5833769128721205
pudim de chia,100,-0.5898142063957995,-0.5149978756682803,-0.5532096967957547,-0.23518127933657787
mingau de aveia sem gluten,338,-0.5161119979991234,-0.30483755097198145,-0.38996080065536237,-0.5037893394925679
0.0,100,0.17668876092963143,0.9841457738319842,-0.15529051245354827,-0.6729129329241171
smoothie de pitaya com banana,483,1.2380005618417664,2.700455092185091,-0.32874246460271517,0.05332367416430028
smoothie de mamão,100,-0.44240978960244737,-0.0946772262756827,-0.08386912039212668,-0.7326036129587815
smoothie de manga com maracuja,120,-0.6291220508740267,-0.16473066784111562,-0.7572708169712452,-0.7326036129587815
pudim de tapioca,100,0.1324674358916258,-0.0946772262756827,-0.7572708169712452,0.5606944544589479
granola com frutas e mel,40,-0.2655244894504249,0.045429656855183145,-0.38996080065536237,-0.39435642609568305
ovo cremoso com queijo e requiejão,78,-0.11320659209729438,-0.7776982815386537,0.4262836800465995,0.5407975611140599
banana amassada com cacau,15,-0.8453151955042765,-0.8652650834954448,-0.8593013770589905,-0.7326036129587815
suco verde,180,-0.6242085703142484,-0.11219058666704093,-0.7368647049536962,-0.6928098262690052
sanduiche de presunto e espinafre,1,0.9431917282550624,-0.8652650834954448,2.2016154255733666,-0.7326036129587815
mingau de milho branco,200,0.3093527360436483,0.4202155692302494,-0.35935163262903874,0.37167396768251054
biscoito de tapioca com queijo parmesão,100,0.5501132834727901,0.39569686468234777,0.5691264641694429,0.5606944544589479
quibe de quinoa,120,0.18651572204918823,-0.4134203853984025,2.3546612657049844,-0.036212345887696416
torta de amendoa,100,0.500978477875006,0.39569686468234777,-0.4511791367080095,0.8591478546322701
mingau de banana,160,0.19634268316874504,0.7179426958833394,0.007958383686844067,-0.3346657460610186
cereal de flocos de milho e arroz,50,-0.10829311153751597,0.32564342311691485,-0.6348341448659509,-0.2749750660263542
pé de moleque (barra de amendoim),12,-0.74213210374893,-0.6866288075035909,-0.6246310888571764,-0.3744595327507949
biscoito de mel e chocolate,72,-0.1672548782548568,0.32564342311691485,-0.4511791367080095,-0.43415021278545934
cookie de coco,10,-0.7126512203902595,-0.7111475120514925,-0.7470677609624707,-0.25507817268146604
barrinha de gergelim e linhaça,10,-0.8010938704662708,-0.7426715607559372,-0.6960524809185981,-0.40430487276812715
cookie de aveia com coco,10,-0.9190174039009525,-0.7601849211472955,-0.7980830410063433,-0.662964486251673
wrap de couve com frango e queijo,300,0.2700448915654211,-0.6200780380164297,3.528012706714055,-0.036212345887696416
quiche alho poró e ricota,120,0.42727626947833,-0.13670929121494244,1.1507006566695905,0.7497149412353854
quibe de berinjela e ricota,132,0.00963042189716571,0.26960066986456843,0.38547145601150135,-0.2749750660263542
milho cozido com manteiga,100,-0.23113012553197604,0.020910952307281648,-0.2675241285500681,-0.25507817268146604
aipim cozido com manteiga,350,-0.40801542568399857,0.1890392120643207,-0.7980830410063433,-0.7027582729414493
mingau de arroz,21,-0.6733433759120323,-0.269810830189265,-0.7674738729800197,-0.7326036129587815
tacos de milho com filetes de lombo suíno,35,-0.5652468035969075,-0.7006394958166775,-0.3491485766202643,-0.1257483659396931
smoothie de frutas vermelhas,80,-0.8305747538249413,-0.6130726938598864,-0.7980830410063433,-0.7127067196138934
parfait iogurte com manga e frutas vermelhas,140,0.32900665828276193,1.0261778387712441,-0.440976080699235,-0.2650266193539101
burrito de milho com frango e queijo,90,0.04893826637539293,0.39569686468234777,-0.03285384034825407,-0.28492351269879823
burrito de milho com costelinha ,100,-0.3932749840046634,-0.30483755097198145,-0.2777271845588426,-0.28492351269879823
burrito de milho com creme de avelã,75,0.48132455563589244,0.5708304685959301,-0.41036691267291137,0.6601789211833887
salada de atum,326,0.08824611085362016,-0.4099177133201309,1.1813098246959144,0.3617255210100665
torrada sem glúten com abacate ,900,3.591557749975622,4.0735025468675765,5.262532228205724,1.3565701882544738
pudim de banana,50,-0.7470455843087084,-0.5325112360596385,-0.5532096967957547,-0.6331191462343408
abacate com leite,100,-0.4473232701622258,-0.5430192522944535,-0.6042249768396274,0.12296280087140872
banana com leite e pasta de amendoim,300,-0.997633092857407,-0.8302383627127284,-0.8593013770589905,-0.7326036129587815
"salada de frango com tomate, alface e abacate",245,0.12264047477206899,-0.6025646776250714,0.9262334244765512,1.0282714480638193
esfirra de carne feita com farinha de arroz,43,-0.40310194512422015,-0.19975738862383208,-0.33894552061148975,-0.4142533194405712
esfirra aberta de aveia,54,-0.132860514336408,0.19254188414259227,-0.11447828841845023,-0.40430487276812715
esfirra de frango com requeijão feita com farinha de arroz,55,-0.5210254785589018,-0.44494443410284734,-0.5430066407869802,-0.3346657460610186
torta de frango feita com farinha de arroz,100,0.24056400820675067,-0.12970394705839916,0.5691264641694429,0.5606944544589479
torta de legumes,103,-0.2950053728090953,-0.31184289512852476,-0.3797577446465878,0.0035814408020799137
torta de carne moída feita com farinha de arroz,50,-0.49645807576000983,-0.6691154471122326,-0.1961027364886464,-0.11579991926724899
bola de carne feita com batata doce,100,0.4665841139565572,0.32564342311691485,0.26303478390620716,0.4612099877345072
ovos mexidos com requiejão cremoso,133,-0.1672548782548568,-0.7882062977734687,0.6711570242571882,0.3915708610273988
ovos mexidos com abobrinha,284,-0.37362106176554977,-0.46245779449420554,0.028364495704393044,-0.1257483659396931
ovos mexidos com cogumelos,100,-0.5750737647164643,-0.7952116419300119,-0.2063057924974209,-0.10585147259480494
empadão de frango com palmito feito com farinha de arroz,150,0.38796842500010276,-0.02462378471024978,0.3650653439939524,1.1576012548055923
empadão de queijo com alho poró feito com farinha de arroz,150,0.10298655253295537,-0.056147833414694544,-0.11447828841845023,0.45126154106206323
empadão de brocólis feito com farinha de arroz,300,0.7024311808259206,0.6058571893786465,0.6711570242571882,0.4612099877345072
empadão de carne feito com farinha de arroz,100,0.6336424529890229,0.43072358546506423,0.08958283175704033,0.8989416413220462
biscoito de polvilho ,30,-0.25569752833086806,0.045429656855183145,-0.7674738729800197,-0.16554215262946934
vitaminada de banana com leite desnatado,270,-0.5357659202382371,-0.18924937238901712,-0.1961027364886464,-0.7226551662863375
vitaminada de abacate,300,0.3240931777229835,-0.014115768475434814,0.28344089592375615,0.9884776613740431
vitaminada de beterraba com banana,286,-0.05915830593973194,0.05944034516826968,-0.08386912039212668,-0.05610923923258458
vitaminada de morango,260,-0.6242085703142484,-0.3924043529287726,-0.16549356846232285,-0.7127067196138934
panqueca de arroz e tomate,700,1.862012592933624,1.2363381634675428,3.0178599062753286,1.7545080551522367
panqueca de brocólis,302,0.02437086357650092,0.29762204649074175,0.4875020160992466,-0.28492351269879823
panqueca de banana com cacau,150,0.35357406108165396,-0.6410940704860596,-0.6144280328484019,-0.4142533194405712
tortilha de milho com chocolate,22,-0.5308524396784586,-0.8652650834954448,-0.8593013770589905,-0.42420176611301524
tortilha de milho com queijo,25,-0.42275586736333376,-0.33986427175469797,-0.7164585929361471,-0.09590302592236082
burrito de milho com carne e queijo,113,0.08824611085362016,0.15050981920333253,0.3650653439939524,-0.026263899215252375
pão de milho com requeijão,70,0.07350566917428496,0.25558998155148194,-0.17569662447109735,0.043375227491856155
